time_iso8601,forks_cumulative
2021-02-06 00:00:00+00:00,1
2021-02-10 00:00:00+00:00,3
2021-03-26 00:00:00+00:00,4
2021-08-28 00:00:00+00:00,5
2021-10-07 00:00:00+00:00,6
2022-01-22 00:00:00+00:00,7
2022-03-07 00:00:00+00:00,8
2022-05-24 00:00:00+00:00,9
2022-06-15 00:00:00+00:00,10
2022-06-16 00:00:00+00:00,11
2023-01-13 00:00:00+00:00,12
2023-01-18 00:00:00+00:00,14
2023-02-14 00:00:00+00:00,15
2023-02-15 00:00:00+00:00,16
