time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-18 00:00:00+00:00,,,15,8
2023-01-19 00:00:00+00:00,,,12,11
2023-01-20 00:00:00+00:00,,,27,15
2023-01-21 00:00:00+00:00,,,31,8
2023-01-22 00:00:00+00:00,,,13,9
2023-01-23 00:00:00+00:00,,,13,7
2023-01-24 00:00:00+00:00,,,5,4
2023-01-25 00:00:00+00:00,,,15,9
2023-01-26 00:00:00+00:00,,,28,19
2023-01-27 00:00:00+00:00,,,21,17
2023-01-28 00:00:00+00:00,,,50,24
2023-01-29 00:00:00+00:00,,,15,9
2023-01-30 00:00:00+00:00,,,17,10
2023-01-31 00:00:00+00:00,,,8,5
