time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-04 00:00:00+00:00,0,0,35,3
2023-01-05 00:00:00+00:00,0,0,12,2
2023-01-06 00:00:00+00:00,1,1,15,2
2023-01-07 00:00:00+00:00,0,0,45,3
2023-01-08 00:00:00+00:00,0,0,69,6
2023-01-09 00:00:00+00:00,0,0,49,6
2023-01-10 00:00:00+00:00,0,0,11,2
2023-01-11 00:00:00+00:00,0,0,28,7
2023-01-12 00:00:00+00:00,0,0,1,1
2023-01-13 00:00:00+00:00,2,1,65,2
2023-01-14 00:00:00+00:00,0,0,51,2
2023-01-15 00:00:00+00:00,0,0,62,2
2023-01-16 00:00:00+00:00,0,0,89,3
2023-01-17 00:00:00+00:00,1,1,47,3
2023-01-18 00:00:00+00:00,0,0,15,3
2023-01-19 00:00:00+00:00,0,0,14,4
2023-01-20 00:00:00+00:00,0,0,20,2
