url_path,views_total,views_unique
/Infinity-Vault/Baze-podataka-I,22,17
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci,11,9
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23,7,5
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23/Postavka,7,4
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-23/Postavka/northwind.accdb,4,3
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-02/Postavka/Store.accdb,4,2
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-02/Postavka/prakticni_ispit%202FEB22.pdf,3,2
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-02/Rjesenje%20(Elda%20Sultic)/rje%C5%A1enje_02FEB22_zadatak1.accdb,3,2
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-23/Postavka/prakticni_ispit%2023FEB22.pdf,3,2
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2018-10-05/Rjesenje/IB123456.accdb,2,2
