url_path,views_total,views_unique
/Infinity-Vault/Baze-podataka-I,17,9
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-23/Postavka/prakticni_ispit%2023FEB22.pdf,13,4
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23,12,5
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23/Postavka,8,3
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-23/Rjesenje,7,4
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci,7,3
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-23/Rjesenje/IB123456-1.accdb,3,3
/Infinity-Vault/Baze-podataka-I/commit/6881916893da1e4ff37c01d503d0f4a71026895c,3,1
/Infinity-Vault/Baze-podataka-I/tree/main/Ispitni%20zadaci/2022-02-02,3,1
/Infinity-Vault/Baze-podataka-I/blob/main/Ispitni%20zadaci/2022-02-02/Postavka/prakticni_ispit%202FEB22.pdf,2,2
