time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-10-23 00:00:00+00:00,,,1,1
2022-10-27 00:00:00+00:00,,,2,1
2022-10-28 00:00:00+00:00,,,2,1
2022-10-29 00:00:00+00:00,,,2,1
2022-10-31 00:00:00+00:00,,,8,2
2022-11-01 00:00:00+00:00,,,3,1
2022-11-05 00:00:00+00:00,,,1,1
