referrer,views_total,views_unique
Google,481,56
github.com,250,20
Bing,157,5
l.instagram.com,55,6
l.facebook.com,45,9
instagram.com,8,5
Yahoo,5,1
facebook.com,2,2
teams.microsoft.com,1,1
