referrer,views_total,views_unique
Google,128,14
github.com,80,5
l.facebook.com,45,7
l.instagram.com,43,5
m.facebook.com,15,4
Bing,6,1
facebook.com,4,4
search-dre.dt.dbankcloud.com,1,1
