referrer,views_total,views_unique
Google,161,19
Bing,143,13
l.facebook.com,33,7
github.com,31,5
l.messenger.com,24,2
l.instagram.com,15,5
m.facebook.com,11,3
teams.microsoft.com,2,2
instagram.com,2,1
facebook.com,1,1
