referrer,views_total,views_unique
Google,401,44
github.com,194,16
l.facebook.com,134,13
Bing,80,4
l.instagram.com,26,10
l.messenger.com,25,1
m.facebook.com,21,5
DuckDuckGo,4,2
instagram.com,2,2
facebook.com,2,2
