referrer,views_total,views_unique
Google,401,57
github.com,105,19
l.facebook.com,103,9
m.facebook.com,60,10
l.instagram.com,42,11
Bing,36,3
l.messenger.com,21,1
DuckDuckGo,4,2
instagram.com,2,1
teams.microsoft.com,1,1
