referrer,views_total,views_unique
Google,196,25
Bing,154,14
github.com,79,11
l.facebook.com,71,8
l.messenger.com,24,2
l.instagram.com,17,6
m.facebook.com,11,3
instagram.com,2,1
facebook.com,1,1
