referrer,views_total,views_unique
Google,685,64
github.com,273,26
Bing,252,22
l.facebook.com,130,20
l.instagram.com,53,8
l.messenger.com,36,2
m.facebook.com,10,3
facebook.com,5,4
snapchat.com,2,1
com.google.android.gm,2,1
