referrer,views_total,views_unique
Google,185,22
Bing,145,13
github.com,80,10
l.facebook.com,61,7
l.messenger.com,24,2
l.instagram.com,17,6
m.facebook.com,11,3
instagram.com,2,1
facebook.com,1,1
