referrer,views_total,views_unique
Google,613,92
github.com,183,14
m.facebook.com,82,14
Bing,78,6
l.instagram.com,46,4
l.facebook.com,12,5
DuckDuckGo,9,1
messenger.com,3,1
teams.microsoft.com,1,1
instagram.com,1,1
