referrer,views_total,views_unique
Google,128,13
github.com,86,4
l.facebook.com,45,7
l.instagram.com,27,4
Bing,26,3
m.facebook.com,15,4
facebook.com,4,4
search-dre.dt.dbankcloud.com,1,1
