referrer,views_total,views_unique
Google,92,10
github.com,64,3
Bing,51,5
l.facebook.com,17,4
m.facebook.com,10,4
l.instagram.com,8,3
facebook.com,3,3
search-dre.dt.dbankcloud.com,1,1
