referrer,views_total,views_unique
Google,439,51
github.com,229,18
Bing,135,4
l.facebook.com,134,13
l.instagram.com,27,9
l.messenger.com,25,1
m.facebook.com,21,5
instagram.com,7,4
Yahoo,5,1
DuckDuckGo,4,2
